ticket, time
0, 10.24
1, 10.31
2, 10.305
3, 10.255
4, 10.205
5, 10.2
6, 10.23
7, 10.245
8, 10.21
9, 10.23
10, 10.225
11, 10.245
12, 10.265
13, 10.225
14, 10.255
15, 10.225
16, 10.23
17, 10.23
18, 10.29
19, 10.205
20, 10.22
21, 10.215
22, 10.25
23, 10.24
24, 10.22
25, 10.25
26, 10.21
27, 10.205
28, 10.225
29, 10.19
30, 10.19
31, 10.2
32, 10.23
33, 10.23
34, 10.22
35, 10.185
36, 10.23
37, 10.2
38, 10.195
39, 10.24
40, 10.19
41, 10.22
42, 10.2
43, 10.26
44, 10.245
45, 10.22
46, 10.225
47, 10.245
48, 10.23
49, 10.175
50, 10.2
51, 10.225
52, 10.2
53, 10.235
54, 10.205
55, 10.28
56, 10.16
57, 10.19
58, 10.21
59, 10.19
60, 10.19
61, 10.21
62, 10.25
63, 10.22
64, 10.265
65, 10.21
66, 10.195
67, 10.235
68, 10.205
69, 10.245
70, 10.21
71, 10.22
72, 10.2
73, 10.22
74, 10.205
75, 10.2
76, 10.21
77, 10.195
78, 10.245
79, 10.21
80, 10.18
81, 10.21
82, 10.22
83, 10.22
84, 10.235
85, 10.2
86, 10.235
87, 10.215
88, 10.185
89, 10.23
90, 10.215
91, 10.225
92, 10.225
93, 10.205
94, 10.205
95, 10.205
96, 10.21
97, 10.215
98, 10.2
99, 10.165
100, 10.22
101, 10.22
102, 10.215
103, 10.21
104, 10.26
105, 10.19
106, 10.245
107, 10.22
108, 10.215
109, 10.215
110, 10.25
111, 10.225
112, 10.195
113, 10.19
114, 10.205
115, 10.24
116, 10.2
117, 10.22
118, 10.225
119, 10.22
120, 10.2
121, 10.23
122, 10.24
123, 10.19
124, 10.205
125, 10.235
126, 10.23
127, 10.255
128, 10.22
129, 10.23
130, 10.23
131, 10.225
132, 10.19
133, 10.175
134, 10.2
135, 10.215
136, 10.205
137, 10.215
138, 10.2
139, 10.2
140, 10.225
141, 10.245
142, 10.2
143, 10.21
144, 10.24
145, 10.22
146, 10.22
147, 10.225
148, 10.24
149, 10.21
150, 10.21
151, 10.21
152, 10.21
153, 10.205
154, 10.235
155, 10.23
156, 10.24
157, 10.265
158, 10.22
159, 10.24
160, 10.185
161, 10.2
162, 10.225
163, 10.195
164, 10.205
165, 10.145
166, 10.235
167, 10.22
168, 10.185
169, 10.21
170, 10.22
171, 10.205
172, 10.175
173, 10.255
174, 10.205
175, 10.255
176, 10.21
177, 10.27
178, 10.25
179, 10.22
180, 10.215
181, 10.24
182, 10.27
183, 10.21
184, 10.23
185, 10.235
186, 10.22
187, 10.23
188, 10.22
189, 10.195
190, 10.225
191, 10.195
192, 10.22
193, 10.2
194, 10.255
195, 10.24
196, 10.215
197, 10.235
198, 10.205
199, 10.205
200, 10.205
201, 10.205
202, 10.205
203, 10.21
204, 10.21
205, 10.2
206, 10.24
207, 10.22
208, 10.24
209, 10.19
210, 10.22
211, 10.245
212, 10.185
213, 10.205
214, 10.19
215, 10.205
216, 10.235
217, 10.17
218, 10.24
219, 10.215
220, 10.235
221, 10.235
222, 10.16
223, 10.205
224, 10.23
225, 10.205
226, 10.23
227, 10.215
228, 10.22
229, 10.215
230, 10.21
