ticket, time
0, 10.265
1, 10.355
2, 10.385
3, 10.28
4, 10.255
5, 10.23
6, 10.26
7, 10.275
8, 10.245
9, 10.24
10, 10.255
11, 10.27
12, 10.3
13, 10.25
14, 10.275
15, 10.265
16, 10.265
17, 10.26
18, 10.31
19, 10.215
20, 10.26
21, 10.24
22, 10.26
23, 10.245
24, 10.245
25, 10.26
26, 10.23
27, 10.225
28, 10.24
29, 10.21
30, 10.205
31, 10.24
32, 10.265
33, 10.265
34, 10.23
35, 10.205
36, 10.25
37, 10.22
38, 10.21
39, 10.26
40, 10.21
41, 10.235
42, 10.24
43, 10.275
44, 10.26
45, 10.235
46, 10.24
47, 10.275
48, 10.25
49, 10.2
50, 10.235
51, 10.245
52, 10.23
53, 10.255
54, 10.22
55, 10.295
56, 10.17
57, 10.23
58, 10.22
59, 10.23
60, 10.225
61, 10.215
62, 10.3
63, 10.245
64, 10.305
65, 10.255
66, 10.205
67, 10.245
68, 10.23
69, 10.265
70, 10.245
71, 10.245
72, 10.23
73, 10.25
74, 10.235
75, 10.215
76, 10.235
77, 10.22
78, 10.265
79, 10.23
80, 10.195
81, 10.235
82, 10.25
83, 10.25
84, 10.25
85, 10.225
86, 10.245
87, 10.245
88, 10.22
89, 10.24
90, 10.235
91, 10.24
92, 10.235
93, 10.22
94, 10.24
95, 10.22
96, 10.22
97, 10.24
98, 10.225
99, 10.215
100, 10.25
101, 10.23
102, 10.225
103, 10.225
104, 10.31
105, 10.215
106, 10.285
107, 10.24
108, 10.245
109, 10.225
110, 10.27
111, 10.235
112, 10.22
113, 10.215
114, 10.235
115, 10.26
116, 10.21
117, 10.25
118, 10.245
119, 10.245
120, 10.215
121, 10.26
122, 10.255
123, 10.205
124, 10.235
125, 10.245
126, 10.26
127, 10.275
128, 10.24
129, 10.275
130, 10.255
131, 10.235
132, 10.205
133, 10.185
134, 10.215
135, 10.225
136, 10.21
137, 10.225
138, 10.24
139, 10.22
140, 10.23
141, 10.27
142, 10.22
143, 10.23
144, 10.26
145, 10.245
146, 10.24
147, 10.25
148, 10.25
149, 10.23
150, 10.22
151, 10.23
152, 10.235
153, 10.215
154, 10.26
155, 10.235
156, 10.27
157, 10.275
158, 10.255
159, 10.245
160, 10.21
161, 10.22
162, 10.245
163, 10.22
164, 10.23
165, 10.18
166, 10.265
167, 10.255
168, 10.195
169, 10.225
170, 10.23
171, 10.235
172, 10.2
173, 10.275
174, 10.225
175, 10.265
176, 10.24
177, 10.305
178, 10.27
179, 10.245
180, 10.25
181, 10.255
182, 10.285
183, 10.255
184, 10.245
185, 10.265
186, 10.245
187, 10.24
188, 10.225
189, 10.215
190, 10.25
191, 10.23
192, 10.25
193, 10.245
194, 10.275
195, 10.26
196, 10.23
197, 10.25
198, 10.22
199, 10.23
200, 10.245
201, 10.23
202, 10.25
203, 10.245
204, 10.235
205, 10.215
206, 10.255
207, 10.25
208, 10.26
209, 10.205
210, 10.25
211, 10.265
212, 10.215
213, 10.26
214, 10.215
215, 10.225
216, 10.26
217, 10.19
218, 10.27
219, 10.245
220, 10.26
221, 10.28
222, 10.18
223, 10.22
224, 10.29
225, 10.22
226, 10.255
227, 10.24
228, 10.24
229, 10.24
230, 10.23
231, 10.255
232, 10.25
233, 10.245
234, 10.285
235, 10.275
236, 10.23
237, 10.215
238, 10.255
239, 10.205
240, 10.22
241, 10.23
242, 10.225
243, 10.22
244, 10.255
245, 10.235
246, 10.225
247, 10.22
248, 10.185
249, 10.205
250, 10.195
251, 10.235
252, 10.225
253, 10.205
254, 10.24
255, 10.245
256, 10.21
257, 10.23
258, 10.205
259, 10.23
260, 10.25
261, 10.24
262, 10.25
263, 10.22
264, 10.275
265, 10.24
266, 10.255
267, 10.25
268, 10.25
269, 10.24
270, 10.23
271, 10.24
272, 10.28
273, 10.205
274, 10.245
275, 10.215
276, 10.275
277, 10.245
278, 10.24
279, 10.245
280, 10.205
281, 10.205
282, 10.22
283, 10.235
284, 10.235
285, 10.24
286, 10.25
287, 10.235
288, 10.23
289, 10.265
290, 10.26
291, 10.23
292, 10.295
293, 10.225
294, 10.23
295, 10.22
296, 10.26
297, 10.275
298, 10.235
299, 10.21
300, 10.245
301, 10.245
302, 10.285
303, 10.29
304, 10.225
305, 10.25
306, 10.235
307, 10.24
308, 10.25
309, 10.265
310, 10.275
311, 10.215
312, 10.285
313, 10.26
314, 10.235
315, 10.225
316, 10.27
317, 10.23
318, 10.275
319, 10.29
320, 10.205
321, 10.245
322, 10.275
323, 10.22
324, 10.255
325, 10.25
326, 10.24
327, 10.24
328, 10.275
329, 10.225
330, 10.21
331, 10.24
332, 10.255
333, 10.21
334, 10.22
335, 10.245
