ticket, time
0, 16.12
1, 16.115
2, 16.115
3, 16.115
4, 16.115
5, 16.11
6, 16.105
7, 16.105
8, 16.11
9, 16.11
10, 16.12
11, 16.115
12, 16.105
13, 16.105
14, 16.11
15, 16.115
16, 16.105
17, 16.105
18, 16.11
19, 16.09
20, 16.085
21, 16.1
22, 16.08
23, 16.115
24, 16.11
25, 16.115
26, 16.1
27, 16.11
28, 16.11
29, 16.115
30, 16.115
31, 16.12
32, 16.12
33, 16.11
34, 16.09
35, 16.095
36, 16.095
37, 16.1
38, 16.115
39, 16.09
40, 16.12
41, 16.105
42, 16.09
43, 16.11
44, 16.12
45, 16.105
46, 16.115
47, 16.115
48, 16.105
49, 16.11
50, 16.11
51, 16.105
52, 16.11
53, 16.12
54, 16.115
55, 16.1
56, 16.12
57, 16.105
58, 16.11
59, 16.115
60, 16.11
61, 16.12
62, 16.11
63, 16.115
64, 16.105
65, 16.12
66, 16.105
67, 16.115
68, 16.105
69, 16.115
70, 16.115
71, 16.11
72, 16.105
73, 16.1
74, 16.105
75, 16.11
76, 16.105
77, 16.115
78, 16.11
79, 16.11
80, 16.11
81, 16.105
82, 16.125
83, 16.12
84, 16.12
85, 16.115
86, 16.1
87, 16.115
88, 16.11
89, 16.105
90, 16.105
91, 16.11
92, 16.1
93, 16.095
94, 16.12
95, 16.105
96, 16.12
97, 16.105
98, 16.105
99, 16.115
100, 16.105
101, 16.105
102, 16.12
103, 16.115
104, 16.11
105, 16.115
106, 16.115
107, 16.12
108, 16.105
109, 16.115
110, 16.11
111, 16.12
112, 16.11
113, 16.105
114, 16.115
115, 16.105
116, 16.115
117, 16.11
118, 16.115
119, 16.115
120, 16.11
121, 16.105
122, 16.115
123, 16.11
124, 16.11
125, 16.105
126, 16.115
127, 16.115
128, 16.105
129, 16.105
130, 16.11
131, 16.11
132, 16.11
133, 16.12
134, 16.11
135, 16.115
136, 16.115
137, 16.09
138, 16.105
139, 16.105
140, 16.11
141, 16.11
142, 16.115
143, 16.095
144, 16.1
145, 16.11
146, 16.115
147, 16.095
148, 16.12
149, 16.11
150, 16.095
151, 16.105
152, 16.11
153, 16.12
154, 16.105
155, 16.115
156, 16.1
157, 16.11
158, 16.11
159, 16.11
160, 16.115
161, 16.12
162, 16.105
163, 16.085
164, 16.11
165, 16.1
166, 16.1
167, 16.115
168, 16.12
169, 16.095
170, 16.115
171, 16.11
172, 16.11
173, 16.12
174, 16.115
175, 16.115
176, 16.12
177, 16.105
178, 16.115
179, 16.12
180, 16.115
181, 16.12
182, 16.115
183, 16.105
184, 16.11
185, 16.11
186, 16.115
187, 16.11
188, 16.105
189, 16.11
190, 16.11
191, 16.105
192, 16.1
193, 16.085
194, 16.12
195, 16.115
196, 16.09
197, 16.11
198, 16.115
199, 16.115
200, 16.105
201, 16.1
202, 16.105
203, 16.115
204, 16.105
205, 16.1
206, 16.1
207, 16.12
208, 16.11
209, 16.095
210, 16.105
211, 16.115
212, 16.1
213, 16.105
214, 16.11
215, 16.12
216, 16.115
217, 16.095
218, 16.115
219, 16.105
220, 16.11
221, 16.115
222, 16.12
223, 16.115
224, 16.105
225, 16.115
226, 16.115
227, 16.1
228, 16.095
229, 16.105
230, 16.11
231, 16.11
232, 16.11
233, 16.11
234, 16.11
235, 16.1
236, 16.095
237, 16.11
238, 16.11
239, 16.115
240, 16.11
241, 16.1
242, 16.1
243, 16.105
244, 16.115
245, 16.11
246, 16.11
247, 16.09
248, 16.11
249, 16.11
250, 16.1
251, 16.095
252, 16.1
253, 16.105
254, 16.09
255, 16.095
256, 16.095
257, 16.095
258, 16.1
259, 16.1
260, 16.095
261, 16.095
262, 16.1
263, 16.09
264, 16.1
265, 16.105
266, 16.1
267, 16.1
268, 16.11
269, 16.105
270, 16.11
271, 16.1
272, 16.095
273, 16.1
274, 16.105
275, 16.095
276, 16.11
277, 16.105
278, 16.095
279, 16.11
280, 16.095
281, 16.105
282, 16.1
283, 16.1
284, 16.095
285, 16.085
286, 16.09
287, 16.105
288, 16.085
289, 16.105
290, 16.115
291, 16.1
292, 16.105
293, 16.105
294, 16.1
295, 16.1
296, 16.09
297, 16.085
298, 16.105
299, 16.115
300, 16.105
301, 16.11
302, 16.105
303, 16.1
304, 16.1
305, 16.1
306, 16.11
307, 16.095
308, 16.105
309, 16.105
310, 16.1
311, 16.105
312, 16.1
313, 16.11
314, 16.105
315, 16.09
316, 16.1
317, 16.11
318, 16.11
319, 16.1
320, 16.105
321, 16.095
322, 16.09
323, 16.095
324, 16.11
325, 16.11
326, 16.1
327, 16.11
328, 16.115
329, 16.11
330, 16.11
331, 16.09
332, 16.11
333, 16.105
334, 16.11
335, 16.115
336, 16.115
337, 16.105
338, 16.105
339, 16.11
340, 16.115
341, 16.12
342, 16.12
343, 16.11
344, 16.11
345, 16.105
346, 16.105
347, 16.105
348, 16.115
349, 16.105
350, 16.115
351, 16.115
352, 16.115
353, 16.085
354, 16.105
355, 16.1
356, 16.105
357, 16.105
358, 16.12
359, 16.105
360, 16.115
361, 16.11
362, 16.1
363, 16.115
364, 16.115
365, 16.09
366, 16.105
367, 16.115
368, 16.115
369, 16.11
370, 16.095
371, 16.105
372, 16.105
373, 16.11
374, 16.12
375, 16.1
376, 16.095
377, 16.11
378, 16.115
379, 16.105
380, 16.115
381, 16.115
382, 16.115
383, 16.115
384, 16.1
385, 16.11
386, 16.1
387, 16.115
388, 16.115
389, 16.1
390, 16.115
391, 16.18
392, 16.1
393, 16.105
394, 16.12
395, 16.115
396, 16.115
397, 16.115
398, 16.12
399, 16.12
400, 16.115
401, 16.115
402, 16.105
403, 16.115
404, 16.105
405, 16.115
406, 16.12
407, 16.115
408, 16.105
409, 16.115
410, 16.105
411, 16.105
412, 16.115
413, 16.095
414, 16.105
415, 16.09
416, 16.11
417, 16.1
418, 16.105
419, 16.115
420, 16.095
421, 16.11
422, 16.105
423, 16.115
424, 16.11
425, 16.105
426, 16.115
427, 16.11
428, 16.095
429, 16.1
430, 16.11
431, 16.105
432, 16.1
433, 16.11
434, 16.115
435, 16.11
436, 16.11
437, 16.11
438, 16.1
439, 16.105
440, 16.105
441, 16.11
442, 16.115
443, 16.115
444, 16.12
445, 16.105
446, 16.115
447, 16.1
448, 16.115
449, 16.1
450, 16.115
451, 16.105
452, 16.11
453, 16.105
454, 16.105
455, 16.105
456, 16.1
457, 16.1
458, 16.095
459, 16.105
460, 16.085
461, 16.1
462, 16.09
463, 16.095
464, 16.1
465, 16.075
466, 16.09
467, 16.1
468, 16.1
469, 16.1
470, 16.09
471, 16.105
472, 16.1
473, 16.1
474, 16.09
475, 16.095
476, 16.095
477, 16.09
478, 16.1
479, 16.1
480, 16.09
481, 16.095
482, 16.09
483, 16.09
484, 16.095
485, 16.095
486, 16.09
487, 16.1
488, 16.08
489, 16.095
490, 16.09
491, 16.09
492, 16.085
493, 16.095
494, 16.085
495, 16.09
496, 16.085
497, 16.095
498, 16.095
499, 16.09
500, 16.09
501, 16.08
502, 16.095
503, 16.08
504, 16.095
505, 16.09
506, 16.1
507, 16.1
508, 16.095
509, 16.1
510, 16.105
511, 16.1
512, 16.095
513, 16.095
514, 16.105
515, 16.095
516, 16.095
517, 16.085
518, 16.08
519, 16.1
520, 16.09
521, 16.09
522, 16.095
523, 16.09
524, 16.09
525, 16.095
526, 16.085
527, 16.09
528, 16.1
529, 16.105
530, 16.095
531, 16.095
532, 16.1
533, 16.1
534, 16.1
535, 16.09
536, 16.09
537, 16.1
538, 16.105
539, 16.1
540, 16.1
541, 16.1
542, 16.1
543, 16.11
544, 16.105
545, 16.1
546, 16.095
547, 16.105
548, 16.1
549, 16.105
550, 16.1
551, 16.11
552, 16.1
553, 16.105
554, 16.105
555, 16.095
556, 16.1
557, 16.105
558, 16.095
559, 16.1
560, 16.105
561, 16.11
562, 16.095
563, 16.1
564, 16.085
565, 16.1
566, 16.11
567, 16.1
568, 16.105
569, 16.1
570, 16.1
571, 16.095
572, 16.105
573, 16.105
574, 16.095
575, 16.095
576, 16.105
577, 16.1
578, 16.09
579, 16.11
580, 16.11
581, 16.1
582, 16.105
583, 16.115
584, 16.105
585, 16.11
586, 16.11
587, 16.1
588, 16.115
589, 16.095
590, 16.105
591, 16.095
592, 16.11
593, 16.11
594, 16.105
595, 16.1
596, 16.11
597, 16.11
598, 16.11
599, 16.115
600, 16.115
601, 16.1
602, 16.115
603, 16.09
604, 16.12
605, 16.1
606, 16.1
607, 16.11
608, 16.115
609, 16.12
610, 16.1
611, 16.105
612, 16.105
613, 16.115
614, 16.115
615, 16.115
616, 16.11
617, 16.105
618, 16.11
619, 16.115
620, 16.1
621, 16.115
622, 16.105
623, 16.11
624, 16.11
625, 16.12
626, 16.11
627, 16.11
628, 16.12
629, 16.115
630, 16.095
631, 16.11
632, 16.11
633, 16.09
634, 16.105
635, 16.115
636, 16.09
637, 16.095
638, 16.105
639, 16.12
640, 16.115
641, 16.1
642, 16.11
643, 16.11
644, 16.11
645, 16.11
646, 16.115
647, 16.115
648, 16.12
649, 16.11
650, 16.1
651, 16.115
652, 16.09
653, 16.12
654, 16.11
655, 16.105
656, 16.11
657, 16.11
658, 16.12
659, 16.115
660, 16.09
661, 16.11
662, 16.11
663, 16.11
664, 16.105
665, 16.115
666, 16.105
667, 16.11
668, 16.115
669, 16.11
670, 16.11
671, 16.11
672, 16.11
673, 16.11
674, 16.105
675, 16.1
676, 16.105
677, 16.115
678, 16.095
679, 16.11
680, 16.105
681, 16.105
682, 16.1
683, 16.115
684, 16.12
685, 16.105
686, 16.11
687, 16.1
688, 16.12
689, 16.115
690, 16.105
691, 16.11
692, 16.12
693, 16.1
694, 16.1
695, 16.12
696, 16.11
697, 16.11
698, 16.11
699, 16.115
700, 16.115
701, 16.11
702, 16.115
703, 16.12
704, 16.1
705, 16.115
706, 16.12
707, 16.12
708, 16.12
709, 16.105
710, 16.125
711, 16.115
712, 16.11
713, 16.105
714, 16.12
715, 16.12
716, 16.11
717, 16.115
718, 16.1
719, 16.125
720, 16.115
721, 16.115
722, 16.12
723, 16.12
724, 16.135
725, 16.11
726, 16.13
727, 16.115
728, 16.13
729, 16.13
730, 16.125
731, 16.115
732, 16.125
733, 16.125
734, 16.11
735, 16.125
736, 16.13
737, 16.12
738, 16.11
739, 16.11
740, 16.11
741, 16.125
742, 16.115
743, 16.105
744, 16.115
745, 16.105
746, 16.12
747, 16.12
748, 16.11
749, 16.125
750, 16.1
751, 16.115
752, 16.12
753, 16.13
754, 16.12
755, 16.115
756, 16.12
757, 16.11
758, 16.13
759, 16.13
760, 16.125
761, 16.115
762, 16.12
763, 16.125
764, 16.115
765, 16.11
766, 16.11
767, 16.12
768, 16.13
769, 16.115
770, 16.12
771, 16.105
772, 16.125
773, 16.12
774, 16.12
775, 16.12
776, 16.115
777, 16.125
778, 16.115
779, 16.12
780, 16.105
781, 16.125
782, 16.11
783, 16.12
784, 16.12
785, 16.12
786, 16.115
787, 16.115
788, 16.11
789, 16.115
790, 16.095
791, 16.11
792, 16.1
793, 16.095
794, 16.12
795, 16.095
796, 16.105
797, 16.12
798, 16.115
799, 16.1
800, 16.115
801, 16.105
802, 16.11
803, 16.105
804, 16.11
805, 16.11
806, 16.11
807, 16.105
808, 16.11
809, 16.115
810, 16.11
811, 16.11
812, 16.105
813, 16.115
814, 16.11
815, 16.11
816, 16.115
817, 16.105
818, 16.11
819, 16.11
820, 16.105
821, 16.12
822, 16.115
823, 16.105
824, 16.11
825, 16.12
826, 16.105
827, 16.115
828, 16.11
829, 16.115
830, 16.12
831, 16.115
832, 16.115
833, 16.105
834, 16.105
835, 16.115
836, 16.1
837, 16.1
838, 16.12
839, 16.115
840, 16.105
841, 16.105
842, 16.095
843, 16.105
844, 16.11
845, 16.105
846, 16.11
847, 16.115
848, 16.115
849, 16.1
850, 16.105
851, 16.1
852, 16.105
853, 16.1
854, 16.105
855, 16.1
856, 16.11
857, 16.1
858, 16.095
859, 16.1
860, 16.1
861, 16.115
862, 16.11
863, 16.115
864, 16.11
865, 16.115
866, 16.11
867, 16.1
868, 16.12
869, 16.115
870, 16.115
871, 16.11
872, 16.11
873, 16.105
874, 16.11
875, 16.125
876, 16.115
877, 16.11
878, 16.12
879, 16.085
880, 16.105
881, 16.11
882, 16.12
883, 16.12
884, 16.105
885, 16.115
886, 16.12
887, 16.115
888, 16.11
889, 16.115
890, 16.115
891, 16.105
892, 16.115
893, 16.115
894, 16.115
895, 16.115
896, 16.12
897, 16.105
898, 16.105
899, 16.105
900, 16.1
901, 16.105
902, 16.11
903, 16.115
904, 16.105
905, 16.115
906, 16.1
907, 16.095
908, 16.115
909, 16.105
910, 16.115
911, 16.11
912, 16.11
