ticket, time
0, 16.12
1, 16.12
2, 16.12
3, 16.115
4, 16.12
5, 16.12
6, 16.12
7, 16.115
8, 16.12
9, 16.12
10, 16.12
11, 16.12
12, 16.12
13, 16.12
14, 16.12
15, 16.12
16, 16.115
17, 16.12
18, 16.115
19, 16.105
20, 16.115
21, 16.105
22, 16.115
23, 16.115
24, 16.12
25, 16.125
26, 16.12
27, 16.12
28, 16.12
29, 16.115
30, 16.115
31, 16.125
32, 16.12
33, 16.12
34, 16.11
35, 16.115
36, 16.115
37, 16.12
38, 16.115
39, 16.12
40, 16.12
41, 16.115
42, 16.115
43, 16.12
44, 16.12
45, 16.115
46, 16.12
47, 16.12
48, 16.115
49, 16.12
50, 16.12
51, 16.115
52, 16.11
53, 16.12
54, 16.12
55, 16.12
56, 16.12
57, 16.12
58, 16.115
59, 16.12
60, 16.12
61, 16.12
62, 16.12
63, 16.12
64, 16.12
65, 16.12
66, 16.12
67, 16.12
68, 16.12
69, 16.12
70, 16.12
71, 16.11
72, 16.12
73, 16.12
74, 16.12
75, 16.12
76, 16.12
77, 16.12
78, 16.115
79, 16.125
80, 16.12
81, 16.115
82, 16.125
83, 16.125
84, 16.12
85, 16.12
86, 16.115
87, 16.12
88, 16.12
89, 16.115
90, 16.12
91, 16.12
92, 16.12
93, 16.12
94, 16.12
95, 16.115
96, 16.12
97, 16.115
98, 16.115
99, 16.115
100, 16.11
101, 16.12
102, 16.12
103, 16.115
104, 16.12
105, 16.12
106, 16.115
107, 16.12
108, 16.12
109, 16.12
110, 16.12
111, 16.12
112, 16.115
113, 16.12
114, 16.12
115, 16.12
116, 16.115
117, 16.12
118, 16.115
119, 16.12
120, 16.12
121, 16.11
122, 16.12
123, 16.12
124, 16.115
125, 16.11
126, 16.115
127, 16.12
128, 16.12
129, 16.115
130, 16.115
131, 16.12
132, 16.11
133, 16.12
134, 16.125
135, 16.12
136, 16.125
137, 16.12
138, 16.12
139, 16.12
140, 16.11
141, 16.115
142, 16.12
143, 16.105
