ticket, time
0, 42.35
1, 42.425
2, 42.415
3, 42.4
4, 42.43
5, 42.4
6, 42.39
7, 42.425
8, 42.365
9, 42.405
10, 42.405
11, 42.385
12, 42.42
13, 42.46
14, 42.41
15, 42.43
16, 42.415
17, 42.46
18, 42.44
19, 42.465
20, 42.455
21, 42.435
22, 42.41
23, 42.39
24, 42.41
25, 42.4
26, 42.415
27, 42.425
28, 42.42
29, 42.42
30, 42.45
31, 42.45
32, 42.425
33, 42.445
34, 42.435
35, 42.43
36, 42.395
37, 42.405
38, 42.435
39, 42.445
40, 42.455
41, 42.415
42, 42.45
43, 42.455
44, 42.41
45, 42.4
46, 42.425
47, 42.435
48, 42.435
49, 42.44
50, 42.43
51, 42.38
52, 42.435
53, 42.415
54, 42.4
55, 42.425
56, 42.41
57, 42.415
58, 42.44
59, 42.425
60, 42.45
61, 42.45
62, 42.45
63, 42.415
64, 42.43
65, 42.415
66, 42.465
67, 42.475
68, 42.405
69, 42.43
70, 42.425
71, 42.425
72, 42.46
73, 42.43
74, 42.425
75, 42.44
76, 42.42
77, 42.41
78, 42.44
79, 42.44
80, 42.42
81, 42.43
82, 42.53
83, 42.425
84, 42.45
85, 42.43
86, 42.42
87, 42.39
88, 42.41
89, 42.45
90, 42.41
91, 42.47
92, 42.485
93, 42.415
94, 42.48
95, 42.385
96, 42.42
97, 42.425
98, 42.375
99, 42.37
100, 42.395
101, 42.37
102, 42.405
103, 42.385
104, 42.42
105, 42.435
106, 42.41
107, 42.38
108, 42.41
109, 42.395
110, 42.485
111, 42.38
112, 42.365
113, 42.39
114, 42.405
115, 42.415
116, 42.38
117, 42.395
118, 42.38
119, 42.38
120, 42.41
121, 42.395
122, 42.42
123, 42.365
124, 42.39
125, 42.415
126, 42.45
127, 42.39
128, 42.44
129, 42.395
130, 42.405
131, 42.365
132, 42.37
133, 42.385
134, 42.375
135, 42.415
136, 42.4
137, 42.405
138, 42.435
139, 42.375
140, 42.41
141, 42.4
142, 42.41
143, 42.405
144, 42.405
145, 42.39
146, 42.375
147, 42.405
148, 42.43
149, 42.375
150, 42.405
151, 42.425
152, 42.43
153, 42.425
154, 42.4
155, 42.41
156, 42.4
157, 42.39
158, 42.43
159, 42.4
160, 42.395
161, 42.385
162, 42.41
163, 42.39
164, 42.37
165, 42.36
166, 42.39
167, 42.405
168, 42.37
169, 42.365
170, 42.42
171, 42.42
172, 42.385
173, 42.39
174, 42.405
175, 42.435
176, 42.455
177, 42.425
178, 42.41
179, 42.405
180, 42.43
181, 42.385
182, 42.385
183, 42.41
184, 42.415
185, 42.385
186, 42.395
187, 42.34
188, 42.375
189, 42.385
190, 42.375
191, 42.38
192, 42.4
193, 42.365
194, 42.445
195, 42.415
196, 42.435
197, 42.39
198, 42.365
199, 42.43
200, 42.39
201, 42.405
202, 42.395
203, 42.4
204, 42.41
205, 42.37
206, 42.375
207, 42.41
208, 42.405
209, 42.385
210, 42.395
211, 42.4
212, 42.385
213, 42.425
214, 42.405
215, 42.39
216, 42.36
217, 42.375
218, 42.38
219, 42.36
220, 42.375
221, 42.38
222, 42.415
223, 42.365
224, 42.375
225, 42.38
226, 42.385
227, 42.44
228, 42.42
229, 42.405
230, 42.395
231, 42.395
232, 42.43
233, 42.41
234, 42.44
235, 42.47
236, 42.415
237, 42.455
238, 42.41
239, 42.43
240, 42.425
241, 42.41
242, 42.45
243, 42.425
244, 42.43
245, 42.46
246, 42.46
247, 42.42
248, 42.46
249, 42.44
250, 42.43
251, 42.45
252, 42.415
253, 42.4
254, 42.41
255, 42.5
256, 42.435
257, 42.44
258, 42.42
259, 42.405
260, 42.415
261, 42.46
262, 42.405
263, 42.395
264, 42.43
265, 42.44
266, 42.435
267, 42.39
268, 42.42
269, 42.41
270, 42.42
271, 42.445
272, 42.495
273, 42.42
274, 42.365
275, 42.395
276, 42.415
277, 42.435
278, 42.375
279, 42.425
280, 42.38
281, 42.415
282, 42.415
283, 42.385
284, 42.41
285, 42.405
286, 42.4
287, 42.385
288, 42.385
289, 42.405
290, 42.395
291, 42.39
292, 42.4
293, 42.425
294, 42.425
295, 42.42
296, 42.405
297, 42.435
298, 42.445
299, 42.44
300, 42.38
301, 42.385
302, 42.41
303, 42.405
304, 42.46
305, 42.45
306, 42.435
307, 42.44
308, 42.445
309, 42.43
310, 42.435
311, 42.44
312, 42.43
313, 42.41
314, 42.44
315, 42.415
316, 42.445
317, 42.435
318, 42.45
319, 42.44
320, 42.44
321, 42.455
322, 42.45
323, 42.445
324, 42.425
325, 42.445
326, 42.435
327, 42.42
328, 42.475
329, 42.42
330, 42.485
331, 42.42
332, 42.445
333, 42.395
334, 42.415
335, 42.465
336, 42.42
337, 42.455
338, 42.465
339, 42.47
340, 42.425
341, 42.41
342, 42.455
343, 42.45
344, 42.375
345, 42.38
346, 42.415
347, 42.45
348, 42.42
349, 42.415
350, 42.39
351, 42.425
352, 42.45
353, 42.425
354, 42.425
355, 42.445
356, 42.435
357, 42.415
358, 42.46
359, 42.44
360, 42.42
361, 42.445
362, 42.46
363, 42.43
364, 42.435
365, 42.445
366, 42.42
367, 42.41
368, 42.42
369, 42.43
370, 42.435
371, 42.425
372, 42.4
373, 42.445
374, 42.425
375, 42.415
376, 42.43
377, 42.475
378, 42.48
379, 42.45
380, 42.41
381, 42.455
382, 42.415
383, 42.395
384, 42.435
385, 42.385
386, 42.415
387, 42.42
388, 42.405
389, 42.43
390, 42.455
391, 42.43
392, 42.45
393, 42.39
394, 42.39
395, 42.38
396, 42.41
397, 42.39
398, 42.42
399, 42.385
400, 42.405
401, 42.4
402, 42.38
403, 42.415
404, 42.38
405, 42.375
406, 42.385
407, 42.36
408, 42.35
409, 42.395
410, 42.405
411, 42.395
412, 42.4
413, 42.4
414, 42.415
415, 42.415
416, 42.42
417, 42.45
418, 42.47
419, 42.415
420, 42.425
421, 42.44
422, 42.475
423, 42.48
424, 42.45
425, 42.445
426, 42.47
427, 42.48
428, 42.465
429, 42.445
430, 42.45
431, 42.445
432, 42.465
433, 42.45
434, 42.49
435, 42.55
436, 42.445
437, 42.47
438, 42.46
439, 42.47
440, 42.44
441, 42.465
442, 42.46
443, 42.45
444, 42.44
445, 42.46
446, 42.395
447, 42.42
448, 42.45
449, 42.46
450, 42.495
451, 42.465
452, 42.495
453, 42.495
454, 42.46
455, 42.455
456, 42.455
457, 42.48
458, 42.48
459, 42.47
460, 42.435
461, 42.455
462, 42.455
463, 42.455
464, 42.43
465, 42.465
466, 42.475
467, 42.48
468, 42.44
469, 42.43
470, 42.455
471, 42.455
472, 42.43
473, 42.44
474, 42.44
475, 42.465
476, 42.435
477, 42.45
478, 42.42
479, 42.44
480, 42.435
481, 42.43
482, 42.43
483, 42.435
484, 42.45
485, 42.44
486, 42.455
487, 42.41
488, 42.415
489, 42.425
490, 42.46
491, 42.43
492, 42.425
493, 42.425
494, 42.45
495, 42.43
496, 42.44
497, 42.405
498, 42.43
499, 42.445
500, 42.415
501, 42.485
502, 42.435
503, 42.395
504, 42.425
505, 42.44
506, 42.435
507, 42.43
508, 42.415
509, 42.435
510, 42.405
511, 42.445
512, 42.4
513, 42.41
514, 42.42
515, 42.45
516, 42.455
517, 42.43
518, 42.39
519, 42.44
520, 42.445
521, 42.43
522, 42.385
523, 42.435
524, 42.41
525, 42.405
526, 42.43
527, 42.45
528, 42.38
529, 42.43
530, 42.38
531, 42.445
532, 42.43
533, 42.43
534, 42.45
535, 42.4
536, 42.415
537, 42.415
538, 42.395
539, 42.425
540, 42.425
541, 42.415
542, 42.405
543, 42.485
544, 42.395
545, 42.445
546, 42.435
547, 42.43
548, 42.41
549, 42.46
550, 42.46
551, 42.38
552, 42.465
553, 42.43
554, 42.42
555, 42.425
556, 42.42
557, 42.465
558, 42.425
559, 42.425
560, 42.44
561, 42.465
562, 42.465
563, 42.47
564, 42.44
565, 42.425
566, 42.46
567, 42.435
568, 42.455
569, 42.455
570, 42.455
571, 42.495
572, 42.435
573, 42.445
574, 42.445
575, 42.455
576, 42.42
577, 42.44
578, 42.385
579, 42.435
580, 42.45
581, 42.43
582, 42.44
583, 42.415
584, 42.42
585, 42.43
586, 42.435
587, 42.41
588, 42.4
589, 42.385
590, 42.41
591, 42.405
592, 42.42
593, 42.405
594, 42.42
595, 42.37
596, 42.43
597, 42.395
598, 42.405
599, 42.44
600, 42.405
601, 42.48
602, 42.44
603, 42.41
604, 42.45
605, 42.39
606, 42.445
607, 42.445
608, 42.435
609, 42.46
610, 42.455
611, 42.425
612, 42.445
613, 42.42
614, 42.405
615, 42.43
616, 42.375
617, 42.395
618, 42.395
619, 42.41
620, 42.36
621, 42.385
622, 42.51
623, 42.4
624, 42.41
625, 42.4
626, 42.425
627, 42.375
628, 42.385
629, 42.445
630, 42.43
631, 42.405
632, 42.415
633, 42.42
634, 42.38
635, 42.385
636, 42.405
637, 42.415
638, 42.425
639, 42.44
640, 42.38
641, 42.41
642, 42.455
643, 42.42
644, 42.35
645, 42.38
646, 42.43
647, 42.35
648, 42.36
649, 42.395
650, 42.425
651, 42.37
652, 42.37
653, 42.395
654, 42.385
655, 42.43
656, 42.375
657, 42.39
658, 42.4
659, 42.4
660, 42.42
661, 42.39
662, 42.385
663, 42.4
664, 42.435
665, 42.44
666, 42.39
667, 42.365
668, 42.405
669, 42.38
670, 42.4
671, 42.415
672, 42.405
673, 42.43
674, 42.395
675, 42.37
676, 42.405
677, 42.39
678, 42.455
679, 42.395
680, 42.395
681, 42.405
682, 42.395
683, 42.43
684, 42.39
685, 42.4
686, 42.385
687, 42.42
688, 42.4
689, 42.425
690, 42.39
691, 42.42
692, 42.385
693, 42.365
694, 42.395
695, 42.4
696, 42.42
697, 42.41
698, 42.435
699, 42.39
700, 42.345
701, 42.385
702, 42.405
703, 42.41
704, 42.37
705, 42.39
706, 42.415
707, 42.385
708, 42.35
709, 42.415
710, 42.405
711, 42.405
712, 42.375
713, 42.425
714, 42.44
715, 42.38
716, 42.41
717, 42.385
718, 42.405
719, 42.395
720, 42.395
721, 42.375
722, 42.38
723, 42.36
724, 42.41
725, 42.385
726, 42.425
727, 42.37
728, 42.42
729, 42.39
730, 42.39
731, 42.4
732, 42.38
733, 42.425
734, 42.41
735, 42.395
736, 42.41
737, 42.38
738, 42.395
739, 42.385
740, 42.375
741, 42.385
742, 42.35
743, 42.4
744, 42.415
745, 42.39
746, 42.4
747, 42.39
748, 42.395
749, 42.42
750, 42.43
751, 42.41
752, 42.445
753, 42.42
754, 42.4
755, 42.435
756, 42.425
757, 42.39
758, 42.425
759, 42.4
760, 42.38
761, 42.38
762, 42.39
763, 42.415
764, 42.42
765, 42.395
766, 42.425
767, 42.395
768, 42.405
769, 42.405
770, 42.375
771, 42.4
772, 42.385
773, 42.43
774, 42.4
775, 42.385
776, 42.385
777, 42.395
778, 42.385
779, 42.445
780, 42.415
781, 42.405
782, 42.42
783, 42.395
784, 42.415
785, 42.375
786, 42.395
787, 42.43
788, 42.42
789, 42.41
790, 42.435
791, 42.405
792, 42.425
793, 42.4
794, 42.4
795, 42.385
796, 42.39
797, 42.39
798, 42.41
799, 42.435
800, 42.39
801, 42.425
802, 42.39
803, 42.405
804, 42.415
805, 42.405
806, 42.415
807, 42.43
808, 42.385
809, 42.405
810, 42.375
