ticket, time
0, 28.355
1, 28.37
2, 28.35
3, 28.395
4, 28.32
5, 28.335
6, 28.37
7, 28.39
8, 28.345
9, 28.355
10, 28.36
11, 28.35
12, 28.34
13, 28.365
14, 28.325
15, 28.345
16, 28.37
17, 28.355
18, 28.355
19, 28.355
20, 28.315
21, 28.355
22, 28.35
23, 28.35
24, 28.37
25, 28.355
26, 28.36
27, 28.35
28, 28.35
29, 28.33
30, 28.345
31, 28.31
32, 28.355
33, 28.355
34, 28.355
35, 28.365
36, 28.35
37, 28.355
38, 28.395
39, 28.355
40, 28.37
41, 28.365
42, 28.345
43, 28.385
44, 28.35
45, 28.365
46, 28.345
47, 28.345
48, 28.32
49, 28.38
50, 28.31
51, 28.325
52, 28.365
53, 28.355
54, 28.355
55, 28.385
56, 28.4
57, 28.37
58, 28.36
59, 28.34
60, 28.345
61, 28.315
62, 28.375
63, 28.35
64, 28.38
65, 28.36
66, 28.355
67, 28.34
68, 28.345
69, 28.45
70, 28.36
71, 28.325
72, 28.35
73, 28.32
74, 28.355
75, 28.365
76, 28.38
77, 28.34
78, 28.355
79, 28.345
80, 28.34
81, 28.34
82, 28.345
83, 28.335
84, 28.365
85, 28.35
86, 28.325
87, 28.37
88, 28.335
89, 28.34
90, 28.34
91, 28.32
92, 28.355
93, 28.35
94, 28.355
95, 28.355
96, 28.33
97, 28.325
98, 28.345
99, 28.35
100, 28.34
101, 28.355
102, 28.365
103, 28.355
104, 28.345
105, 28.335
106, 28.375
107, 28.355
108, 28.365
109, 28.31
110, 28.36
111, 28.35
112, 28.34
113, 28.33
114, 28.325
115, 28.375
116, 28.355
117, 28.35
118, 28.35
119, 28.335
120, 28.355
121, 28.33
122, 28.36
123, 28.325
124, 28.33
125, 28.365
126, 28.335
127, 28.355
128, 28.305
129, 28.315
130, 28.335
131, 28.335
132, 28.35
133, 28.37
134, 28.35
135, 28.36
136, 28.365
137, 28.365
138, 28.34
139, 28.35
140, 28.365
141, 28.335
142, 28.385
143, 28.325
144, 28.35
145, 28.345
146, 28.32
147, 28.35
148, 28.365
149, 28.335
150, 28.345
151, 28.375
152, 28.335
153, 28.345
154, 28.35
155, 28.345
156, 28.335
157, 28.365
158, 28.315
159, 28.335
160, 28.33
161, 28.38
162, 28.325
163, 28.325
164, 28.305
165, 28.34
166, 28.37
167, 28.365
168, 28.375
169, 28.425
170, 28.38
171, 28.36
172, 28.36
173, 28.345
174, 28.335
175, 28.355
176, 28.38
177, 28.36
178, 28.355
179, 28.335
180, 28.355
181, 28.345
182, 28.335
183, 28.355
184, 28.355
185, 28.34
186, 28.34
187, 28.37
188, 28.35
189, 28.36
190, 28.33
191, 28.35
192, 28.34
193, 28.345
194, 28.325
195, 28.32
196, 28.355
197, 28.33
198, 28.305
199, 28.345
200, 28.34
201, 28.34
202, 28.34
203, 28.335
204, 28.385
205, 28.355
206, 28.34
207, 28.34
208, 28.355
209, 28.37
210, 28.365
211, 28.345
212, 28.34
213, 28.38
214, 28.39
215, 28.37
216, 28.37
217, 28.36
218, 28.345
219, 28.335
220, 28.34
221, 28.355
222, 28.355
223, 28.39
224, 28.38
225, 28.355
226, 28.345
227, 28.35
228, 28.385
229, 28.38
230, 28.335
231, 28.36
232, 28.37
233, 28.37
234, 28.35
235, 28.33
236, 28.33
237, 28.385
238, 28.41
239, 28.395
240, 28.375
241, 28.4
242, 28.405
243, 28.38
244, 28.39
245, 28.36
246, 28.355
247, 28.4
248, 28.405
249, 28.355
250, 28.395
251, 28.385
252, 28.39
253, 28.375
254, 28.345
255, 28.37
256, 28.37
257, 28.375
258, 28.365
259, 28.385
260, 28.38
261, 28.375
262, 28.375
263, 28.38
264, 28.39
265, 28.355
266, 28.37
267, 28.365
268, 28.34
269, 28.34
270, 28.41
271, 28.35
272, 28.355
273, 28.36
274, 28.37
275, 28.38
276, 28.39
277, 28.36
278, 28.415
279, 28.415
280, 28.38
281, 28.375
282, 28.375
283, 28.4
284, 28.38
285, 28.375
286, 28.38
287, 28.345
288, 28.395
289, 28.38
290, 28.375
291, 28.345
292, 28.39
293, 28.365
294, 28.365
295, 28.4
296, 28.35
297, 28.41
298, 28.395
299, 28.365
300, 28.375
301, 28.33
302, 28.36
303, 28.365
304, 28.395
305, 28.38
306, 28.37
307, 28.36
308, 28.355
309, 28.365
310, 28.36
311, 28.445
312, 28.42
313, 28.385
314, 28.385
315, 28.335
316, 28.37
317, 28.35
318, 28.41
319, 28.37
320, 28.41
321, 28.395
322, 28.395
323, 28.39
324, 28.39
325, 28.385
326, 28.39
327, 28.36
328, 28.375
329, 28.405
330, 28.39
331, 28.37
332, 28.41
333, 28.415
334, 28.4
335, 28.355
336, 28.375
337, 28.385
338, 28.44
339, 28.345
340, 28.355
341, 28.39
342, 28.42
343, 28.385
344, 28.39
345, 28.395
346, 28.42
347, 28.4
348, 28.385
349, 28.405
350, 28.385
351, 28.405
352, 28.4
353, 28.415
354, 28.375
355, 28.385
356, 28.39
357, 28.4
358, 28.375
359, 28.415
360, 28.405
361, 28.385
362, 28.385
363, 28.38
364, 28.39
365, 28.395
366, 28.41
367, 28.405
368, 28.395
369, 28.385
370, 28.375
371, 28.385
372, 28.4
373, 28.395
374, 28.405
375, 28.415
376, 28.4
377, 28.375
378, 28.375
379, 28.375
380, 28.41
381, 28.39
382, 28.4
383, 28.375
384, 28.395
385, 28.395
386, 28.37
387, 28.4
388, 28.385
389, 28.415
390, 28.385
391, 28.415
392, 28.41
393, 28.365
394, 28.41
395, 28.4
396, 28.385
397, 28.365
398, 28.385
399, 28.39
400, 28.38
401, 28.385
402, 28.38
403, 28.395
404, 28.4
405, 28.395
406, 28.36
407, 28.4
408, 28.38
409, 28.405
410, 28.36
411, 28.42
412, 28.39
413, 28.375
414, 28.365
415, 28.405
416, 28.39
417, 28.395
418, 28.385
419, 28.405
420, 28.385
421, 28.375
422, 28.375
423, 28.385
424, 28.39
425, 28.395
426, 28.375
427, 28.385
428, 28.4
429, 28.39
430, 28.365
431, 28.38
432, 28.36
433, 28.335
434, 28.38
435, 28.36
436, 28.4
437, 28.38
438, 28.385
439, 28.365
440, 28.405
441, 28.375
442, 28.4
443, 28.39
444, 28.38
445, 28.38
446, 28.36
447, 28.4
448, 28.36
449, 28.405
450, 28.38
451, 28.375
452, 28.355
453, 28.415
454, 28.385
455, 28.365
456, 28.36
457, 28.395
458, 28.42
459, 28.41
460, 28.41
461, 28.405
462, 28.385
463, 28.385
464, 28.42
465, 28.36
466, 28.39
467, 28.385
468, 28.4
469, 28.38
470, 28.39
471, 28.37
472, 28.405
473, 28.35
474, 28.415
475, 28.385
476, 28.405
477, 28.4
478, 28.4
479, 28.395
480, 28.38
481, 28.39
482, 28.39
483, 28.395
484, 28.375
485, 28.395
486, 28.355
487, 28.37
488, 28.405
489, 28.39
490, 28.415
491, 28.395
492, 28.39
493, 28.395
494, 28.405
495, 28.385
496, 28.385
497, 28.395
498, 28.34
499, 28.38
500, 28.365
501, 28.355
502, 28.37
503, 28.39
504, 28.405
505, 28.38
506, 28.395
507, 28.345
508, 28.38
509, 28.4
510, 28.405
511, 28.345
512, 28.4
513, 28.405
514, 28.37
515, 28.34
516, 28.4
517, 28.37
518, 28.375
519, 28.38
520, 28.385
521, 28.41
522, 28.39
523, 28.4
524, 28.38
525, 28.395
526, 28.39
527, 28.385
528, 28.375
529, 28.405
530, 28.365
531, 28.405
532, 28.39
533, 28.365
534, 28.395
535, 28.395
536, 28.4
537, 28.39
538, 28.395
539, 28.385
540, 28.39
541, 28.39
542, 28.395
543, 28.4
544, 28.375
545, 28.41
546, 28.415
547, 28.39
548, 28.385
549, 28.41
550, 28.37
551, 28.39
552, 28.405
553, 28.405
554, 28.37
555, 28.415
556, 28.415
557, 28.405
558, 28.36
559, 28.395
560, 28.355
561, 28.4
562, 28.4
563, 28.39
564, 28.42
565, 28.39
566, 28.41
567, 28.405
568, 28.385
569, 28.37
570, 28.385
571, 28.405
572, 28.425
573, 28.36
574, 28.415
575, 28.39
576, 28.385
577, 28.39
578, 28.39
579, 28.39
580, 28.355
581, 28.375
582, 28.37
583, 28.375
584, 28.385
585, 28.39
586, 28.37
587, 28.38
588, 28.375
589, 28.395
590, 28.395
591, 28.41
592, 28.395
593, 28.375
594, 28.395
595, 28.385
596, 28.385
597, 28.39
598, 28.38
599, 28.39
600, 28.39
